Hours,Attendance,PreviousMarks,Marks,Result
2,55,40,38,0
3,60,45,44,0
2,50,38,35,0
1,45,30,28,0
4,65,50,52,0
3,58,42,46,0
2,52,35,37,0
1,48,32,30,0
5,70,55,60,1
4,68,52,57,1
3,62,48,50,0
6,75,60,66,1
5,72,58,63,1
4,66,54,58,1
7,80,65,72,1
6,78,62,68,1
5,74,60,65,1
8,85,70,78,1
7,82,67,74,1
6,76,63,69,1
9,88,75,82,1
8,86,72,79,1
7,83,68,75,1
10,90,80,88,1
9,89,77,84,1
8,87,73,80,1
2,54,39,36,0
1,47,31,29,0
3,59,44,47,0
4,67,53,56,1
5,71,57,62,1
6,77,61,67,1
7,81,66,73,1
8,84,71,77,1
9,88,76,83,1
10,91,81,89,1
2,56,41,39,0
3,61,46,48,0
4,69,54,59,1
5,73,59,64,1
1,46,33,31,0
6,79,64,70,1
7,84,69,76,1
8,88,74,81,1
9,90,78,85,1
10,92,82,90,1
2,53,37,34,0
3,63,49,51,0
4,70,55,60,1
5,75,61,66,1
6,80,65,71,1
7,85,70,77,1
8,89,75,82,1
9,91,79,86,1
10,93,83,91,1
1,49,34,32,0
2,57,43,41,0
3,64,50,53,1
4,71,56,61,1
5,76,62,67,1
6,81,66,72,1
7,86,71,78,1
2,51,36,33,0
4,72,57,62,1
6,82,67,73,1
8,90,76,83,1
10,94,84,92,1
3,65,51,54,1
5,77,63,68,1
7,87,72,79,1
9,92,80,87,1
1,44,29,27,0
2,58,44,42,0
4,73,58,63,1
6,83,68,74,1
8,91,77,84,1
3,66,52,55,1
5,78,64,69,1
7,88,73,80,1
9,93,81,88,1
2,60,46,45,0
4,74,59,64,1
6,84,69,75,1
8,92,78,85,1
10,95,85,93,1
3,67,53,56,1
5,79,65,70,1
7,89,74,81,1
1,50,35,33,0
4,75,60,65,1
6,85,70,76,1
8,93,79,86,1
2,62,47,46,0
5,80,66,71,1
7,90,75,82,1
9,94,82,89,1
3,68,54,57,1
6,86,71,77,1
10,96,86,94,1
7,85,70,77,1
5,45,100,72,1
12,52,15,28,0
12,88,12,46,1
7,85,72,78,1
6,80,65,71,1
8,88,82,86,1
5,90,78,84,1
4,75,60,64,1
7,85,72,78,1
6,80,65,71,1
5,90,78,84,1
8,88,82,86,1
4,75,60,64,1
6,80,65,71,1
7,85,72,78,1
5,90,78,84,1
8,88,82,86,1
4,75,60,64,1
6,80,65,71,1
8,88,82,86,1
7,85,72,78,1
5,90,78,84,1
4,75,60,64,1
12,44,15,24,0
1,12,52,23,0
4,5,42,15,0
4,42,3,12,0
12,84,52,68,1
12,32,50,38,1
18,97,50,77,1
2,43,72,53,0
9,15,82,47,1
4,35,74,51,1
9,85,100,96,1
8,89,56,71,1
3,75,56,61,1
1,0,2,0,0
5,86,25,50,1
4,50,0,15,0
2,55,11,23,0
4,34,85,57,1
5,25,75,46,0
